"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1147.49084,1.985223,1147.49084,0,0,,
1150.89087,1.985168,1150.89087,0,0,,
1154.29138,1.985114,1154.29138,0,0,,
1157.69263,1.98506,1157.69263,0,0,,
1161.09436,1.985006,1161.09436,0,0,,
1164.49658,1.984953,1164.49658,0,0,,
1167.89954,1.984901,1167.89954,0,0,,
1171.303,1.984849,1171.303,0,0,,
1174.70691,1.984797,1174.70691,0,0,,
1178.11157,1.984746,1178.11157,0,0,,
1181.51672,1.984695,1181.51672,0,0,,
1184.92249,1.984645,1184.92249,0,0,,
1188.32874,1.984595,1188.32874,0,0,,
1191.7356,1.984546,1191.7356,0,0,,
1195.14307,1.984497,1195.14307,0,0,,
1198.551,1.984448,1198.551,0,0,,
1201.95972,1.9844,1201.95972,0,0,,
1205.3689,1.984352,1205.3689,0,0,,
1208.77856,1.984305,1208.77856,0,0,,
1212.18884,1.984258,1212.18884,0,0,,
1215.59973,1.984211,1215.59973,0,0,,
1219.01111,1.984165,1219.01111,0,0,,
1222.4231,1.98412,1222.4231,0,0,,
1225.83569,1.984074,1225.83569,0,0,,
1229.2489,1.984029,1229.2489,0,0,,
1232.6626,1.983984,1232.6626,0,0,,
1236.0769,1.98394,1236.0769,0,0,,
1239.49182,1.983896,1239.49182,0,0,,
1242.90723,1.983853,1242.90723,0,0,,
1246.32324,1.98381,1246.32324,0,0,,
1249.73975,1.983767,1249.73975,0,0,,
1253.157,1.983724,1253.157,0,0,,
1256.57458,1.983682,1256.57458,0,0,,
1259.99292,1.98364,1259.99292,0,0,,
1263.41187,1.983599,1263.41187,0,0,,
1266.8313,1.983558,1266.8313,0,0,,
1270.25122,1.983517,1270.25122,0,0,,
1273.67175,1.983477,1273.67175,0,0,,
1277.093,1.983436,1277.093,0,0,,
1280.51465,1.983397,1280.51465,0,0,,
1283.937,1.983357,1283.937,0,0,,
1287.35986,1.983318,1287.35986,0,0,,
1290.78333,1.983279,1290.78333,0,0,,
1294.20728,1.98324,1294.20728,0,0,,
1297.63184,1.983202,1297.63184,0,0,,
1301.05688,1.983164,1301.05688,0,0,,
1304.48267,1.983127,1304.48267,0,0,,
1307.90894,1.983089,1307.90894,0,0,,
1311.33582,1.983052,1311.33582,0,0,,
1314.76331,1.983015,1314.76331,0,0,,
1318.19116,1.982979,1318.19116,0,0,,
1321.61987,1.982943,1321.61987,0,0,,
1325.049,1.982907,1325.049,0,0,,
1328.47876,1.982871,1328.47876,0,0,,
1331.90894,1.982836,1331.90894,0,0,,
1335.33984,1.982801,1335.33984,0,0,,
1338.77124,1.982766,1338.77124,0,0,,
1342.20325,1.982731,1342.20325,0,0,,
1345.63574,1.982697,1345.63574,0,0,,
1349.069,1.982663,1349.069,0,0,,
1352.50269,1.982629,1352.50269,0,0,,
